Training the model
Epoch: 1, loss_train: 37443.9713, acc_train: 0.0171, loss_val: 36949.6639, acc_val: 0.0251, time:4.3689
Epoch: 2, loss_train: 370823.4848, acc_train: 0.0458, loss_val: 371875.1673, acc_val: 0.0512, time:4.3224
Epoch: 3, loss_train: 316265.5346, acc_train: 0.0616, loss_val: 312378.7460, acc_val: 0.0531, time:4.3305
Epoch: 4, loss_train: 368738.7587, acc_train: 0.0613, loss_val: 377841.4566, acc_val: 0.0598, time:4.3378
Epoch: 5, loss_train: 95429.8620, acc_train: 0.0514, loss_val: 97355.7782, acc_val: 0.0589, time:4.3568
Epoch: 6, loss_train: 38446.8700, acc_train: 0.0545, loss_val: 39932.1185, acc_val: 0.0512, time:4.3584
Epoch: 7, loss_train: 36016.6133, acc_train: 0.0338, loss_val: 37789.4389, acc_val: 0.0376, time:4.4033
Epoch: 8, loss_train: 18884.0278, acc_train: 0.1476, loss_val: 18527.2651, acc_val: 0.1264, time:4.3229
Epoch: 9, loss_train: 1947.4892, acc_train: 0.1467, loss_val: 2057.8569, acc_val: 0.1245, time:4.3811
Epoch: 10, loss_train: 536.6272, acc_train: 0.0820, loss_val: 537.9761, acc_val: 0.0936, time:4.3739
Epoch: 11, loss_train: 42.0435, acc_train: 0.0696, loss_val: 40.5281, acc_val: 0.0763, time:4.4740
Epoch: 12, loss_train: 40.9520, acc_train: 0.0699, loss_val: 39.6204, acc_val: 0.0782, time:4.4196
Epoch: 13, loss_train: 41.2250, acc_train: 0.0694, loss_val: 39.7690, acc_val: 0.0782, time:4.4347
Epoch: 14, loss_train: 41.2107, acc_train: 0.0567, loss_val: 39.8535, acc_val: 0.0811, time:4.3620
Epoch: 15, loss_train: 41.8794, acc_train: 0.0489, loss_val: 40.5198, acc_val: 0.0569, time:4.4024
Epoch: 16, loss_train: 42.7670, acc_train: 0.0548, loss_val: 41.3354, acc_val: 0.0637, time:4.4095
Epoch: 17, loss_train: 42.9709, acc_train: 0.0554, loss_val: 41.5463, acc_val: 0.0550, time:4.3941
Epoch: 18, loss_train: 41.9228, acc_train: 0.0487, loss_val: 40.2127, acc_val: 0.0550, time:4.3723
Epoch: 19, loss_train: 39.4479, acc_train: 0.0856, loss_val: 37.7169, acc_val: 0.0801, time:4.4608
Epoch: 20, loss_train: 66.3383, acc_train: 0.0975, loss_val: 37.4334, acc_val: 0.0965, time:4.4581
Epoch: 21, loss_train: 33.7839, acc_train: 0.0809, loss_val: 31.5428, acc_val: 0.0772, time:4.4465
Epoch: 22, loss_train: 31.8742, acc_train: 0.0602, loss_val: 29.5439, acc_val: 0.0550, time:4.3584
Epoch: 23, loss_train: 35.2207, acc_train: 0.0480, loss_val: 32.9187, acc_val: 0.0376, time:4.3294
Epoch: 24, loss_train: 31.0208, acc_train: 0.0476, loss_val: 28.8671, acc_val: 0.0415, time:4.3604
Epoch: 25, loss_train: 27.2325, acc_train: 0.0696, loss_val: 25.3140, acc_val: 0.0685, time:4.3844
Epoch: 26, loss_train: 25.6487, acc_train: 0.0766, loss_val: 23.2428, acc_val: 0.0734, time:4.3968
Epoch: 27, loss_train: 25.0367, acc_train: 0.0993, loss_val: 22.6882, acc_val: 0.1149, time:4.3466
Epoch: 28, loss_train: 23.3728, acc_train: 0.1041, loss_val: 21.2632, acc_val: 0.1081, time:4.3719
Epoch: 29, loss_train: 23.0524, acc_train: 0.0964, loss_val: 22.7582, acc_val: 0.0927, time:4.3331
Epoch: 30, loss_train: 22.0632, acc_train: 0.0665, loss_val: 20.3549, acc_val: 0.0743, time:4.3328
Epoch: 31, loss_train: 19.9653, acc_train: 0.0852, loss_val: 18.1964, acc_val: 0.1071, time:4.3596
Epoch: 32, loss_train: 19.0583, acc_train: 0.0577, loss_val: 17.3181, acc_val: 0.0685, time:4.3912
Epoch: 33, loss_train: 17.2821, acc_train: 0.0631, loss_val: 15.8142, acc_val: 0.0637, time:4.3737
Epoch: 34, loss_train: 17.2981, acc_train: 0.0676, loss_val: 16.0976, acc_val: 0.0666, time:4.3429
Epoch: 35, loss_train: 18.3349, acc_train: 0.0665, loss_val: 17.3577, acc_val: 0.0695, time:4.3989
Epoch: 36, loss_train: 15.9119, acc_train: 0.0886, loss_val: 14.8748, acc_val: 0.0878, time:4.4058
Epoch: 37, loss_train: 14.9547, acc_train: 0.0925, loss_val: 14.1653, acc_val: 0.0801, time:4.4020
Epoch: 38, loss_train: 15.2793, acc_train: 0.1193, loss_val: 14.8371, acc_val: 0.0946, time:4.4201
Epoch: 39, loss_train: 14.7489, acc_train: 0.1186, loss_val: 13.6982, acc_val: 0.1071, time:4.4155
Epoch: 40, loss_train: 14.8704, acc_train: 0.1125, loss_val: 13.9496, acc_val: 0.0975, time:4.4144
Epoch: 41, loss_train: 13.9894, acc_train: 0.1162, loss_val: 13.0402, acc_val: 0.1129, time:4.3389
Epoch: 42, loss_train: 13.6788, acc_train: 0.1161, loss_val: 12.5396, acc_val: 0.1042, time:4.3556
Epoch: 43, loss_train: 13.2829, acc_train: 0.1128, loss_val: 12.3951, acc_val: 0.1207, time:4.3234
Epoch: 44, loss_train: 12.3924, acc_train: 0.1080, loss_val: 11.8540, acc_val: 0.1207, time:4.3719
Epoch: 45, loss_train: 11.3871, acc_train: 0.0986, loss_val: 10.5933, acc_val: 0.1062, time:4.3832
Epoch: 46, loss_train: 10.7062, acc_train: 0.0834, loss_val: 10.2260, acc_val: 0.0849, time:4.4045
Epoch: 47, loss_train: 9.8193, acc_train: 0.0799, loss_val: 9.6575, acc_val: 0.1014, time:4.4283
Epoch: 48, loss_train: 9.3276, acc_train: 0.0700, loss_val: 9.2729, acc_val: 0.0647, time:4.3619
Epoch: 49, loss_train: 10.2493, acc_train: 0.0572, loss_val: 9.7316, acc_val: 0.0676, time:4.4797
Epoch: 50, loss_train: 9.7109, acc_train: 0.0624, loss_val: 10.0197, acc_val: 0.0627, time:4.8515
Test set results: lost=5.4978 , accuracy= 0.0546
